times,real number of connections,estimated number of connections
1542365735.142157,1,1
1542365735.145502,1,1
1542365735.147371,1,1
1542365735.14939,1,1
1542365735.151217,1,1
1542365735.152692,1,1
1542365735.15905,1,1
1542365735.160608,1,1
1542365735.162627,1,1
1542365735.163932,1,1
1542365735.168399,1,1
1542365735.170231,1,1
1542365735.177267,1,1
1542365735.179094,1,1
1542365735.180447,1,1
1542365735.183888,1,1
1542365735.184443,1,1
1542365735.185186,1,1
1542365735.196485,1,1
1542365735.222056,1,1
1542365735.226474,1,1
1542365735.234242,1,1
1542365735.235517,1,1
1542365735.238097,1,1
1542365735.239618,1,1
1542365735.241963,1,1
1542365735.243239,1,1
1542365735.256237,1,1
1542365735.257459,1,1
1542365735.26014,1,1
1542365735.261444,1,1
1542365735.263883,1,1
1542365735.265161,1,1
1542365735.277873,1,1
1542365735.279166,1,1
1542365735.293319,1,1
1542365735.295897,1,1
1542365735.297182,1,1
1542365735.305118,1,1
1542365735.33091,1,1
1542365735.356436,1,1
1542365735.361165,1,1
1542365735.367552,1,1
1542365735.378673,1,1
1542365735.397752,1,1
1542365735.410294,1,1
1542365735.41266,1,1
1542365735.412933,1,1
1542365735.41665,1,1
1542365735.423484,1,1
1542365735.43742,1,1
1542365735.44006,1,1
1542365735.44041,1,1
1542365735.460508,1,1
1542365735.478364,1,1
1542365735.484504,1,1
1542365735.485312,1,1
1542365735.488604,1,1
1542365735.491067,1,1
1542365735.491941,1,1
1542365735.492873,1,1
1542365735.493266,1,1
1542365735.498311,1,1
1542365735.499212,1,1
1542365735.50014,1,1
1542365735.501478,1,1
1542365735.503994,1,1
1542365735.506022,1,1
1542365735.507819,1,1
1542365735.509671,1,1
1542365735.513339,1,1
1542365735.531243,1,1
1542365735.533102,1,1
1542365735.534421,1,1
1542365735.534443,1,1
1542365735.537753,1,1
1542365735.539513,1,1
1542365735.540981,1,1
1542365735.544001,1,1
1542365735.544947,1,1
1542365735.546301,1,1
1542365735.548873,1,1
1542365735.550641,1,1
1542365735.552655,1,1
1542365735.554652,1,1
1542365735.555563,1,1
1542365735.55835,1,1
1542365735.572019,1,1
1542365735.574021,1,1
1542365735.58616,1,1
1542365735.587602,1,1
1542365735.58857,1,1
1542365735.589474,1,1
1542365735.590387,1,1
1542365735.59085,1,1
1542365735.59329,1,1
1542365735.596167,1,1
1542365735.597478,1,1
1542365735.602446,1,1
1542365735.611414,1,1
1542365735.617921,1,1
1542365735.622757,1,1
1542365735.655381,1,1
1542365735.670559,1,1
1542365735.676641,1,1
1542365735.678513,1,1
1542365735.695881,1,1
1542365735.700263,1,1
1542365735.705038,1,1
1542365735.711461,1,1
1542365735.714672,1,1
1542365735.714998,1,1
1542365735.720948,1,1
1542365735.721805,1,1
1542365735.726862,1,1
1542365735.730634,1,1
1542365735.737593,1,1
1542365735.741273,1,1
1542365735.742564,1,1
1542365735.752396,1,1
1542365735.773359,1,1
1542365735.782983,1,1
1542365735.788566,1,1
1542365735.796483,1,1
1542365735.796785,1,1
1542365735.798666,1,1
1542365735.799129,1,1
1542365735.801133,1,1
1542365735.803003,1,1
1542365735.804315,1,1
1542365735.806968,1,1
1542365735.808322,1,1
1542365735.81708,1,1
1542365735.819771,1,1
1542365735.820113,1,1
1542365735.831759,1,1
1542365735.844115,1,1
1542365735.844275,1,1
1542365735.84666,1,1
1542365735.853467,1,1
1542365735.862895,1,1
1542365735.871718,1,1
1542365735.874215,1,1
1542365735.878122,1,1
1542365735.895446,1,1
1542365735.89579,1,1
1542365735.89766,1,1
1542365735.917294,1,1
1542365735.918581,1,1
1542365735.927947,1,1
1542365735.929892,1,1
1542365735.944311,1,1
1542365735.949057,1,1
1542365735.9504,1,1
1542365735.967465,1,1
1542365735.970255,1,1
1542365735.981214,1,1
1542365735.993648,1,1
1542365735.996855,1,1
1542365736.007016,1,1
1542365736.009436,1,1
1542365736.01428,1,1
1542365736.016793,1,1
1542365736.021792,1,1
1542365736.025456,1,1
1542365736.030725,1,1
1542365736.038261,1,1
1542365736.044475,1,1
1542365736.052152,1,1
1542365736.060908,1,1
1542365736.068631,1,1
1542365736.077806,1,1
1542365736.083396,1,1
1542365736.093846,1,1
1542365736.100564,1,1
1542365736.108552,1,1
1542365736.109675,1,1
1542365736.111872,1,1
1542365736.113314,1,1
1542365736.118907,1,1
1542365736.120914,1,1
1542365736.12167,1,1
1542365736.131018,1,1
1542365736.149171,1,1
1542365736.154224,1,1
1542365736.169782,1,1
1542365736.173006,1,1
1542365736.180587,1,1
1542365736.182017,1,1
1542365736.189496,1,1
1542365736.194968,1,1
1542365736.202783,1,1
1542365736.209646,1,1
1542365736.216538,1,1
1542365736.21794,1,1
1542365736.225341,1,1
1542365736.231048,1,1
1542365736.232457,1,1
1542365736.245011,1,1
1542365736.248354,1,1
1542365736.252429,1,1
1542365736.259631,1,1
1542365736.278556,1,1
1542365736.292785,1,1
1542365736.317399,1,1
1542365736.31833,1,1
1542365736.319266,1,1
1542365736.320481,1,1
1542365736.320854,1,1
1542365736.32231,1,1
1542365736.325326,1,1
1542365736.326914,1,1
1542365736.327835,1,1
1542365736.328764,1,1
1542365736.329681,1,1
1542365736.330105,1,1
1542365736.335449,1,1
1542365736.336435,1,1
1542365736.338102,1,1
1542365736.389706,1,1
1542365736.769212,1,1
1542365736.842947,1,1
1542365736.884289,1,1
1542365737.212232,1,1
1542365737.212345,1,1
1542365737.217098,1,1
1542365737.222716,1,1
1542365737.225146,1,1
1542365737.341691,1,1
1542365737.341829,1,1
1542365737.341911,1,1
1542365737.354136,1,1
1542365737.356715,1,1
1542365737.358046,1,1
1542365737.360267,1,1
1542365737.361909,1,1
1542365737.364674,1,1
1542365737.366022,1,1
1542365737.367969,1,1
1542365737.370442,1,1
1542365737.370507,1,1
1542365737.370557,1,1
1542365737.370612,1,1
1542365737.370652,1,1
1542365737.37069,1,1
1542365737.371786,1,1
1542365737.374305,1,1
1542365737.375666,1,1
1542365737.378892,1,1
1542365737.380217,1,1
1542365737.382242,1,1
1542365737.384142,1,1
1542365737.40154,1,1
1542365737.445379,1,1
1542365737.451279,1,1
1542365737.452915,1,1
1542365737.453302,1,1
1542365737.454634,1,1
1542365737.464621,1,1
1542365737.466222,1,1
