times,real number of connections,estimated number of connections
1542365694.714197,1,3
1542365694.719258,1,3
1542365694.742961,1,3
1542365694.769497,1,3
1542365694.794319,1,3
1542365694.800392,1,3
1542365694.808356,1,3
1542365694.823489,1,3
1542365694.83105,1,3
1542365694.836141,1,3
1542365694.844341,1,3
1542365694.849539,1,3
1542365694.854841,1,3
1542365694.862865,1,3
1542365694.870917,1,3
1542365694.876051,1,3
1542365694.887156,1,3
1542365694.893927,1,3
1542365694.905039,1,3
1542365694.917827,1,3
1542365694.92337,1,3
1542365694.928629,1,3
1542365694.95293,1,3
1542365694.962772,1,3
1542365694.971792,1,3
1542365695.000106,1,3
1542365695.005333,1,3
1542365695.016662,1,3
1542365695.027597,1,3
1542365695.040818,1,3
1542365695.047248,1,3
1542365695.052827,1,3
1542365695.058011,1,3
1542365695.063574,1,3
1542365695.071448,1,3
1542365695.076673,1,3
1542365695.08446,1,3
1542365695.090324,1,3
1542365695.114143,1,3
1542365695.117344,1,3
1542365695.11995,1,3
1542365695.125078,1,3
1542365701.660947,1,3
1542365701.963284,1,3
1542365702.306073,1,3
1542365702.808642,1,3
1542365702.820062,1,3
1542365702.829977,1,3
1542365702.852608,1,3
1542365702.875085,1,3
1542365702.908944,1,3
1542365702.92166,1,3
1542365702.921761,1,3
1542365703.253166,1,0
1542365703.266895,1,0
1542365703.266986,1,0
1542365704.033682,1,1
1542365704.370351,1,1
1542365704.527715,1,1
1542365704.551892,1,1
1542365704.558366,1,1
1542365704.566439,1,1
1542365705.791129,1,1
1542365705.977535,1,1
1542365705.977573,1,1
1542365706.011237,1,1
1542365706.076963,1,1
1542365706.453246,1,1
1542365706.50297,1,1
1542365706.509249,1,1
1542365706.69588,1,1
1542365706.758688,1,1
1542365706.847722,1,1
1542365706.864577,1,1
1542365706.864636,1,1
1542365706.920645,1,1
1542365706.970009,1,1
1542365706.979168,1,1
1542365706.985631,1,1
1542365706.992034,1,1
1542365707.042153,1,1
1542365707.055236,1,1
1542365707.07431,1,1
1542365707.101681,1,1
1542365707.18445,1,1
1542365707.184575,1,1
1542365707.184606,1,1
1542365707.18463,1,1
1542365707.221046,1,1
1542365707.232017,1,1
1542365707.348822,1,1
1542365707.602597,1,1
1542365707.6092,1,1
1542365707.692999,1,1
1542365707.699498,1,1
1542365707.699559,1,1
1542365707.721018,1,1
1542365708.145812,1,1
1542365708.145921,1,1
1542365708.145962,1,1
1542365708.146038,1,1
1542365708.173504,1,1
1542365708.173538,1,1
1542365708.173564,1,1
1542365708.173586,1,1
1542365708.173685,1,1
1542365708.196022,1,1
1542365708.198725,1,1
1542365708.308089,1,1
1542365708.337067,1,1
1542365708.43253,1,1
1542365708.462702,1,1
1542365708.544038,1,1
1542365708.621142,1,1
1542365708.678398,1,1
1542365708.69296,1,1
1542365708.708476,1,1
1542365708.760652,1,1
1542365708.790447,1,1
1542365708.793742,1,1
1542365708.846033,1,1
1542365708.849263,1,1
1542365708.907873,1,1
1542365708.910883,1,1
1542365708.965716,1,1
1542365708.969696,1,1
1542365709.044501,1,1
1542365709.129146,1,1
1542365709.178826,1,1
1542365709.207292,1,1
1542365709.299019,1,1
1542365709.304431,1,1
1542365709.345464,1,1
1542365709.383959,1,1
1542365709.43769,1,1
1542365709.447969,1,1
1542365709.45427,1,1
1542365709.477519,1,1
1542365709.501605,1,1
1542365709.515402,1,1
1542365709.520683,1,1
1542365710.065805,1,1
1542365710.080903,1,1
1542365710.148512,1,1
1542365710.151159,1,1
1542365710.263746,1,1
1542365710.322852,1,1
1542365732.266185,1,0
1542365732.266743,1,1
1542365732.267231,1,1
1542365732.267647,1,1
1542365732.268053,1,1
1542365732.269673,1,1
1542365732.350852,1,1
1542365732.350999,1,1
1542365732.356187,1,1
1542365732.356586,1,1
1542365732.362134,1,1
1542365732.36216,1,1
1542365732.362172,1,1
1542365732.362183,1,1
1542365732.362314,1,1
1542365732.362449,1,1
1542365732.362609,1,1
1542365732.362729,1,1
1542365732.442084,1,1
1542365732.442788,1,1
1542365732.44392,1,1
1542365732.449284,1,1
1542365732.449684,1,1
1542365732.449732,1,1
1542365732.44977,1,1
1542365732.449805,1,1
1542365732.44987,1,1
1542365732.449926,1,1
1542365732.44996,1,1
1542365732.452394,1,1
1542365732.453744,1,1
1542365732.45383,1,1
1542365732.454306,1,1
1542365732.454826,1,1
1542365732.455814,1,1
1542365732.456545,1,1
1542365732.457999,1,1
1542365732.458341,1,1
1542365732.462612,1,1
1542365732.463027,1,1
1542365732.530434,1,1
1542365732.530633,1,1
1542365732.531927,1,1
1542365732.53431,1,1
1542365732.538232,1,1
1542365732.538436,1,1
1542365732.539082,1,1
1542365732.542374,1,1
1542365732.542402,1,1
1542365732.542684,1,1
1542365732.54286,1,1
1542365732.542873,1,1
1542365732.5976,1,1
1542365732.603377,1,1
1542365732.603961,1,1
1542365732.60411,1,1
1542365732.619722,1,1
1542365732.620289,1,1
1542365732.620876,1,1
1542365732.621493,1,1
1542365732.622124,1,1
1542365732.622727,1,1
1542365732.622836,1,1
1542365732.624105,1,1
1542365732.624717,1,1
1542365732.625347,1,1
1542365732.626576,1,1
1542365732.627292,1,1
1542365732.632497,1,1
1542365732.669377,1,1
1542365732.681935,1,1
1542365732.683881,1,1
1542365732.69303,1,1
1542365732.695211,1,1
1542365732.697216,1,1
1542365732.700142,1,1
1542365732.702466,1,1
1542365732.704366,1,1
1542365732.708746,1,1
1542365732.715677,1,1
1542365732.718682,1,1
1542365732.719374,1,1
1542365732.724484,1,1
1542365732.733955,1,1
1542365732.734341,1,1
1542365732.736814,1,1
1542365732.739819,1,1
1542365732.750176,1,1
1542365732.752012,1,1
1542365732.754297,1,1
1542365732.756073,1,1
1542365732.757816,1,1
1542365732.760725,1,1
1542365732.766753,1,1
1542365732.769278,1,1
1542365732.771207,1,1
1542365732.774684,1,1
1542365732.784385,1,1
1542365732.785445,1,1
1542365732.786661,1,1
1542365732.787387,1,1
1542365732.789618,1,1
1542365732.79086,1,1
1542365732.791563,1,1
1542365732.801795,1,1
1542365732.802518,1,1
1542365732.804212,1,1
1542365732.806408,1,1
1542365732.807165,1,1
1542365732.809374,1,1
1542365732.81865,1,1
1542365732.818776,1,1
1542365732.821622,1,1
1542365732.826411,1,1
1542365732.827586,1,1
1542365732.829531,1,1
1542365732.836008,1,1
1542365732.838637,1,1
1542365732.840428,1,1
1542365732.84873,1,1
1542365732.85387,1,1
1542365732.858314,1,1
1542365732.860537,1,1
1542365732.865431,1,1
1542365732.869226,1,1
1542365732.870283,1,1
1542365732.871633,1,1
1542365732.872627,1,1
1542365732.873684,1,1
1542365732.876081,1,1
1542365732.877486,1,1
1542365732.887745,1,1
1542365732.892828,1,1
1542365732.896083,1,1
1542365732.900789,1,1
1542365732.902963,1,1
1542365732.909944,1,1
1542365732.915826,1,1
1542365732.925939,1,1
1542365732.928174,1,1
1542365732.933423,1,1
1542365732.936764,1,1
1542365732.941307,1,1
1542365732.944051,1,1
1542365732.945206,1,1
1542365732.94643,1,1
1542365732.94814,1,1
1542365732.949394,1,1
1542365732.950619,1,1
1542365732.951854,1,1
1542365732.953228,1,1
1542365732.95449,1,1
1542365732.955202,1,1
1542365732.957408,1,1
1542365732.958722,1,1
1542365732.959899,1,1
1542365732.960632,1,1
1542365732.962467,1,1
1542365732.963714,1,1
1542365732.964725,1,1
1542365732.965685,1,1
1542365732.967829,1,1
1542365732.96949,1,1
1542365732.970733,1,1
1542365732.971949,1,1
1542365732.972641,1,1
1542365732.974521,1,1
1542365732.975789,1,1
1542365732.977023,1,1
1542365732.977734,1,1
1542365732.980078,1,1
1542365732.981321,1,1
1542365732.982553,1,1
1542365732.982787,1,1
1542365732.984012,1,1
1542365732.984601,1,1
1542365732.985857,1,1
1542365732.987088,1,1
1542365732.987788,1,1
1542365732.990273,1,1
1542365732.991488,1,1
1542365732.992722,1,1
1542365732.993438,1,1
1542365732.99531,1,1
1542365732.996546,1,1
1542365732.99763,1,1
1542365732.998282,1,1
1542365732.99967,1,1
1542365733.00211,1,1
1542365733.003336,1,1
1542365733.004843,1,1
1542365733.00853,1,1
1542365733.013163,1,1
1542365733.01447,1,1
1542365733.023009,1,1
1542365733.024225,1,1
1542365733.024904,1,1
1542365733.027256,1,1
1542365733.027825,1,1
1542365733.028494,1,1
1542365733.029761,1,1
1542365733.030429,1,1
1542365733.032279,1,1
1542365733.033566,1,1
1542365733.034707,1,1
1542365733.035416,1,1
1542365733.037499,1,1
1542365733.038777,1,1
1542365733.039923,1,1
1542365733.04075,1,1
1542365733.042733,1,1
1542365733.04325,1,1
1542365733.044503,1,1
1542365733.045263,1,1
1542365733.047091,1,1
1542365733.048354,1,1
1542365733.049591,1,1
1542365733.050277,1,1
1542365733.053048,1,1
1542365733.054232,1,1
1542365733.055401,1,1
1542365733.056109,1,1
1542365733.057987,1,1
1542365733.059259,1,1
1542365733.060478,1,1
1542365733.061195,1,1
1542365733.063882,1,1
1542365733.065096,1,1
1542365733.066436,1,1
1542365733.067146,1,1
1542365733.069059,1,1
1542365733.070207,1,1
1542365733.071434,1,1
1542365733.072129,1,1
1542365733.074228,1,1
1542365733.07551,1,1
1542365733.076764,1,1
1542365733.077417,1,1
1542365733.079294,1,1
1542365733.080532,1,1
1542365733.081778,1,1
1542365733.082406,1,1
1542365733.084134,1,1
1542365733.084732,1,1
1542365733.085747,1,1
1542365733.087211,1,1
1542365733.08792,1,1
1542365733.08981,1,1
1542365733.091027,1,1
1542365733.091668,1,1
1542365733.092288,1,1
1542365733.092904,1,1
1542365733.094972,1,1
1542365733.096201,1,1
1542365733.09744,1,1
1542365733.098675,1,1
1542365733.100017,1,1
1542365733.101274,1,1
1542365733.102506,1,1
1542365733.103735,1,1
1542365733.10526,1,1
1542365733.106535,1,1
1542365733.107751,1,1
1542365733.108517,1,1
1542365733.110434,1,1
1542365733.111581,1,1
1542365733.112818,1,1
1542365733.113436,1,1
1542365733.114141,1,1
1542365733.116866,1,1
1542365733.118135,1,1
1542365733.119379,1,1
1542365733.120579,1,1
1542365733.121874,1,1
1542365733.123156,1,1
1542365733.124417,1,1
1542365733.125674,1,1
1542365733.129349,1,1
1542365733.130502,1,1
1542365733.131842,1,1
1542365733.132994,1,1
1542365733.134514,1,1
1542365733.135697,1,1
1542365733.137022,1,1
1542365733.138209,1,1
1542365733.139715,1,1
1542365733.140926,1,1
1542365733.142211,1,1
1542365733.143432,1,1
1542365733.144791,1,1
1542365733.145999,1,1
1542365733.147238,1,1
1542365733.148473,1,1
1542365733.151182,1,1
1542365733.167638,1,1
1542365733.168881,1,1
1542365733.169665,1,1
1542365733.170901,1,1
1542365733.171487,1,1
1542365733.172074,1,1
1542365733.173382,1,1
1542365733.174519,1,1
1542365733.175917,1,1
1542365733.177129,1,1
1542365733.178363,1,1
1542365733.179601,1,1
1542365733.181661,1,1
1542365733.182937,1,1
1542365733.183555,1,1
1542365733.184153,1,1
1542365733.184794,1,1
1542365733.185506,1,1
1542365733.18743,1,1
1542365733.188704,1,1
1542365733.189906,1,1
1542365733.190612,1,1
1542365733.192965,1,1
1542365733.194187,1,1
1542365733.195444,1,1
1542365733.19613,1,1
1542365733.197994,1,1
1542365733.199224,1,1
1542365733.200467,1,1
1542365733.201173,1,1
1542365733.203694,1,1
1542365733.20489,1,1
1542365733.206129,1,1
1542365733.206835,1,1
1542365733.22504,1,1
1542365733.226203,1,1
1542365733.2275,1,1
1542365733.230999,1,1
1542365733.232182,1,1
1542365733.232822,1,1
1542365733.234079,1,1
1542365733.23476,1,1
1542365733.236639,1,1
1542365733.237847,1,1
1542365733.239037,1,1
1542365733.239758,1,1
1542365733.241699,1,1
1542365733.242903,1,1
1542365733.243514,1,1
1542365733.244704,1,1
1542365733.247683,1,1
1542365733.24883,1,1
1542365733.25003,1,1
1542365733.251253,1,1
1542365733.252614,1,1
1542365733.253865,1,1
1542365733.255111,1,1
1542365733.255692,1,1
1542365733.256361,1,1
1542365733.263701,1,1
1542365733.264915,1,1
1542365733.266156,1,1
1542365733.2674,1,1
1542365733.268759,1,1
1542365733.269997,1,1
1542365733.271231,1,1
1542365733.272474,1,1
1542365733.274221,1,1
1542365733.275492,1,1
1542365733.276734,1,1
1542365733.277966,1,1
1542365733.279894,1,1
1542365733.281139,1,1
1542365733.282376,1,1
1542365733.283609,1,1
1542365733.284975,1,1
1542365733.286207,1,1
1542365733.287434,1,1
1542365733.288713,1,1
1542365733.290335,1,1
1542365733.294118,1,1
1542365733.295986,1,1
1542365733.297165,1,1
1542365733.298391,1,1
1542365733.29963,1,1
1542365733.29975,1,1
1542365733.300992,1,1
1542365733.302234,1,1
1542365733.303497,1,1
1542365733.30473,1,1
1542365733.306933,1,1
1542365733.308161,1,1
1542365733.310368,1,1
1542365733.310866,1,1
1542365733.315753,1,1
1542365733.318062,1,1
1542365733.320355,1,1
1542365733.322866,1,1
1542365733.324531,1,1
1542365733.325715,1,1
1542365733.327423,1,1
1542365733.32873,1,1
1542365733.333078,1,1
1542365733.334313,1,1
1542365733.344509,1,1
1542365733.347639,1,1
1542365733.348376,1,1
1542365733.350248,1,1
1542365733.351485,1,1
1542365733.352753,1,1
1542365733.353997,1,1
1542365733.355313,1,1
1542365733.356585,1,1
1542365733.35785,1,1
1542365733.359052,1,1
1542365733.3608,1,1
1542365733.362044,1,1
1542365733.363272,1,1
1542365733.364522,1,1
1542365733.365866,1,1
1542365733.367105,1,1
1542365733.368482,1,1
1542365733.369782,1,1
1542365733.370997,1,1
1542365733.372226,1,1
1542365733.384973,1,1
1542365733.386278,1,1
1542365733.387442,1,1
1542365733.388178,1,1
1542365733.389131,1,1
1542365733.390351,1,1
1542365733.391604,1,1
1542365733.392858,1,1
1542365733.394066,1,1
1542365733.395424,1,1
1542365733.396661,1,1
1542365733.3979,1,1
1542365733.399134,1,1
1542365733.400708,1,1
1542365733.401901,1,1
1542365733.403175,1,1
1542365733.404395,1,1
1542365733.40573,1,1
1542365733.406959,1,1
1542365733.408263,1,1
1542365733.409525,1,1
1542365733.410667,1,1
1542365733.412216,1,1
1542365733.413478,1,1
1542365733.414713,1,1
1542365733.416035,1,1
1542365733.417278,1,1
1542365733.418542,1,1
1542365733.41985,1,1
1542365733.421411,1,1
1542365733.422622,1,1
1542365733.423864,1,1
1542365733.424952,1,1
1542365733.426481,1,1
1542365733.427706,1,1
1542365733.428933,1,1
1542365733.430153,1,1
1542365733.433966,1,1
1542365733.435198,1,1
1542365733.43619,1,1
1542365733.437619,1,1
1542365733.439037,1,1
1542365733.440237,1,1
1542365733.441455,1,1
1542365733.442691,1,1
1542365733.444271,1,1
1542365733.445501,1,1
1542365733.44674,1,1
1542365733.447964,1,1
1542365733.449316,1,1
1542365733.450552,1,1
1542365733.451806,1,1
1542365733.453029,1,1
1542365733.456926,1,1
1542365733.458156,1,1
1542365733.459393,1,1
1542365733.46062,1,1
1542365733.461984,1,1
1542365733.46322,1,1
1542365733.464461,1,1
1542365733.465079,1,1
1542365733.465697,1,1
1542365733.467463,1,1
1542365733.468699,1,1
1542365733.469927,1,1
1542365733.47114,1,1
1542365733.471286,1,1
1542365733.472645,1,1
1542365733.473801,1,1
1542365733.475054,1,1
1542365733.476262,1,1
1542365733.478421,1,1
1542365733.479659,1,1
1542365733.480895,1,1
1542365733.482133,1,1
1542365733.484083,1,1
1542365733.48522,1,1
1542365733.486483,1,1
1542365733.48773,1,1
1542365733.489047,1,1
1542365733.489912,1,1
1542365733.491585,1,1
1542365733.49281,1,1
1542365733.494637,1,1
1542365733.503942,1,1
1542365733.504417,1,1
1542365733.521291,1,1
1542365733.523536,1,1
1542365733.531762,1,1
1542365733.532406,1,1
1542365733.532555,1,1
1542365733.534173,1,1
1542365733.534815,1,1
1542365733.535326,1,1
1542365733.535984,1,1
1542365733.536606,1,1
1542365733.547802,1,1
1542365733.548956,1,1
1542365733.550184,1,1
1542365733.551454,1,1
1542365733.552669,1,1
1542365733.554887,1,1
1542365733.555976,1,1
1542365733.570274,1,1
1542365733.570647,1,1
1542365733.572115,1,1
1542365733.573318,1,1
1542365733.574599,1,1
1542365733.58615,1,1
1542365733.587884,1,1
1542365733.589214,1,1
1542365733.589855,1,1
1542365733.590394,1,1
1542365733.591162,1,1
1542365733.593422,1,1
1542365733.594639,1,1
1542365733.59587,1,1
1542365733.596589,1,1
1542365733.598465,1,1
1542365733.599703,1,1
1542365733.600938,1,1
1542365733.601663,1,1
1542365733.608945,1,1
1542365733.610152,1,1
1542365733.61139,1,1
1542365733.612137,1,1
1542365733.631022,1,1
1542365733.63228,1,1
1542365733.633435,1,1
1542365733.636965,1,1
1542365733.637025,1,1
1542365733.637074,1,1
1542365733.637996,1,1
1542365733.638114,1,1
1542365733.65552,1,1
1542365733.656326,1,1
1542365733.658044,1,1
1542365733.658862,1,1
1542365733.660894,1,1
1542365733.662122,1,1
1542365733.663353,1,1
1542365733.664252,1,1
1542365733.664279,1,1
1542365733.664295,1,1
1542365733.664967,1,1
1542365733.666028,1,1
1542365733.666351,1,1
1542365733.66639,1,1
1542365733.667076,1,1
1542365733.667096,1,1
1542365733.668111,1,1
1542365733.66915,1,1
1542365733.67043,1,1
1542365733.671482,1,1
1542365733.672523,1,1
1542365733.673566,1,1
1542365733.674585,1,1
1542365733.677212,1,1
1542365733.679389,1,1
1542365733.680878,1,1
1542365733.694563,1,1
1542365733.706851,1,1
1542365733.707106,1,1
1542365733.709457,1,1
1542365733.722875,1,1
1542365733.723222,1,1
1542365733.724787,1,1
1542365733.734294,1,1
1542365733.734826,1,1
1542365733.737329,1,1
1542365733.737621,1,1
1542365733.752716,1,1
1542365733.752915,1,1
1542365733.752981,1,1
1542365733.75304,1,1
1542365733.753075,1,1
1542365733.756095,1,1
1542365733.757502,1,1
1542365733.758751,1,1
1542365733.762612,1,1
1542365733.763974,1,1
1542365733.764082,1,1
1542365733.76558,1,1
1542365733.778935,1,1
1542365733.779439,1,1
1542365733.780695,1,1
1542365733.781383,1,1
1542365733.782096,1,1
1542365733.78218,1,1
1542365733.783735,1,1
1542365733.78495,1,1
1542365733.785057,1,1
1542365733.786986,1,1
1542365733.801148,1,1
1542365733.801517,1,1
1542365733.801565,1,1
1542365733.802243,1,1
1542365733.803467,1,1
1542365733.804077,1,1
1542365733.80596,1,1
1542365733.807305,1,1
1542365733.80802,1,1
1542365733.854351,1,1
1542365733.881947,1,1
1542365733.885808,1,1
1542365733.887154,1,1
1542365733.888351,1,1
1542365733.889455,1,1
1542365733.892236,1,1
1542365733.894502,1,1
1542365733.896945,1,1
1542365733.896995,1,1
1542365733.899581,1,1
1542365733.902736,1,1
1542365733.903783,1,1
1542365733.911643,1,1
1542365733.928221,1,1
1542365733.929115,1,1
1542365733.930957,1,1
1542365733.932297,1,1
1542365733.932946,1,1
1542365733.933332,1,1
1542365733.935978,1,1
1542365733.937692,1,1
1542365733.938115,1,1
1542365733.950147,1,1
1542365733.965464,1,1
1542365733.990432,1,1
1542365733.992273,1,1
1542365733.993614,1,1
1542365733.996103,1,1
1542365733.997076,1,1
1542365733.998459,1,1
1542365734.004945,1,1
1542365734.006783,1,1
1542365734.009037,1,1
1542365734.009781,1,1
1542365734.010956,1,1
1542365734.014294,1,1
1542365734.014605,1,1
1542365734.016819,1,1
1542365734.016848,1,1
1542365734.016862,1,1
1542365734.033549,1,1
1542365734.035365,1,1
1542365734.036676,1,1
1542365734.038783,1,1
1542365734.053411,1,1
1542365734.063388,1,1
1542365734.065867,1,1
1542365734.066273,1,1
1542365734.069155,1,1
1542365734.086349,1,1
1542365734.087651,1,1
1542365734.102842,1,1
1542365734.104013,1,1
1542365734.105298,1,1
1542365734.123123,1,1
1542365734.125357,1,1
1542365734.125495,1,1
1542365734.12556,1,1
1542365734.139724,1,1
1542365734.140761,1,1
1542365734.141996,1,1
1542365734.142713,1,1
1542365734.144596,1,1
1542365734.145828,1,1
1542365734.147055,1,1
1542365734.163374,1,1
1542365734.164691,1,1
1542365734.191218,1,1
1542365734.191738,1,1
1542365734.193636,1,1
1542365734.194015,1,1
1542365734.195227,1,1
1542365734.208028,1,1
1542365734.208301,1,1
1542365734.209708,1,1
1542365734.210156,1,1
1542365734.211497,1,1
1542365734.213053,1,1
1542365734.21491,1,1
1542365734.215357,1,1
1542365734.246229,1,1
1542365734.248448,1,1
1542365734.252838,1,1
1542365734.275278,1,1
1542365734.276606,1,1
1542365734.277565,1,1
1542365734.279114,1,1
1542365734.279569,1,1
